,PH 2024,PN 2024,PH% 2024,PN% 2024,PH 2023,PN 2023,PH% 2023,PN% 2023,M,C,I
Postal vote,63,56,0.53,0.47,93,269,0.26,0.74,,,
Early vote,,,,,12,45,0.21,0.79,,,
Padang Lalang,879,1720,0.34,0.66,1006,1829,0.35,0.65,0.73,0.18,0.08
Puteri Gunong,4321,3952,0.52,0.48,6286,4192,0.60,0.40,0.43,0.29,0.27
Tasek Junkong,652,1013,0.39,0.61,972,1052,0.48,0.52,0.60,0.30,0.10
Sungai Duri,1045,3101,0.25,0.75,1194,3134,0.28,0.72,0.82,0.12,0.05
Sungai Bakap,2124,2269,0.48,0.52,2980,2338,0.56,0.44,0.50,0.28,0.21
Ladang Sempah,244,546,0.31,0.69,340,577,0.37,0.63,0.69,0.04,0.25
Sungai Kechil,652,940,0.41,0.59,738,1015,0.42,0.58,0.76,0.14,0.09
Kampung Besar,242,901,0.21,0.79,249,982,0.20,0.80,0.97,0.02,0.00
Total,10222,14498,0.41,0.59,13870,15433,0.47,0.53,0.59,0.23,0.17
Total,20381,28940,0.41,0.59,13870,15433,0.47,0.53,0.59,0.23,0.17